label
building cabinet
getting a piercing
playing ocarina
tiptoeing
playing hand clapping games
base jumping
playing field hockey
setting table
jaywalking
golf putting
shearing sheep
juggling balls
capoeira
mosh pit dancing
tie dying
eating doughnuts
cleaning gutters
playing drums
blowing bubble gum
carving ice
inflating balloons
flint knapping
fencing (sport)
sneezing
roasting pig
flint knapping
zumba
rock scissors paper
mushroom foraging
throwing axe
twiddling fingers
cutting orange
juggling balls
huddling
waxing back
rock scissors paper
throwing tantrum
laying stone
picking fruit
climbing tree
curling hair
extinguishing fire
shopping
standing on hands
cleaning shoes
shaking hands
chewing gum
gymnastics tumbling
tying shoe laces
photobombing
waxing chest
scrubbing face
decorating the christmas tree
tying shoe laces
waxing legs
parkour
chopping vegetables
throwing tantrum
petting animal (not cat)
juggling soccer ball
installing carpet
tap dancing
lighting fire
gymnastics tumbling
battle rope training
catching fish
snowboarding
geocaching
flipping pancake
parkour
bobsledding
changing wheel (not on bike)
snatch weight lifting
knitting
high jump
card stacking
attending conference
drop kicking
ice swimming
swimming breast stroke
bouncing on bouncy castle
watering plants
canoeing or kayaking
tickling
calligraphy
kicking soccer ball
playing kickball
calligraphy
eating spaghetti
jumping into pool
using inhaler
blowing nose
busking
inflating balloons
combing hair
pole vault
barbequing
making bubbles
biking through snow
pull ups
folding napkins
front raises
washing feet
peeling apples
sneezing
brush painting
eating burger
archery
building cabinet
snatch weight lifting
yawning
polishing metal
crossing eyes
throwing knife
making paper aeroplanes
making paper aeroplanes
shoveling snow
riding a bike
barbequing
ice skating
parkour
bandaging
shaping bread dough
hurling (sport)
playing squash or racquetball
making tea
cutting nails
dining
headbanging
swinging on something
golf putting
dyeing hair
playing basketball
tapping guitar
hurling (sport)
using remote controller (not gaming)
bartending
climbing a rope
playing ocarina
throwing axe
ice fishing
contact juggling
playing pan pipes
card stacking
shaking head
carving pumpkin
calculating
juggling balls
roller skating
tasting food
vacuuming floor
juggling soccer ball
shaking hands
stretching leg
clay pottery making
folding napkins
eating watermelon
separating eggs
weaving basket
tap dancing
tying bow tie
hockey stop
water skiing
water skiing
riding unicycle
wrapping present
golf chipping
bull fighting
waxing chest
busking
jetskiing
opening bottle (not wine)
tickling
playing trombone
contorting
putting on eyeliner
passing American football (in game)
using a power drill
massaging feet
fixing hair
sign language interpreting
historical reenactment
using circular saw
blowing glass
flying kite
curling hair
rock scissors paper
playing pan pipes
bulldozing
playing volleyball
zumba
high jump
side kick
kicking field goal
playing paintball
shot put
texting
riding mule
push up
blowing bubble gum
jaywalking
archaeological excavation
chopping wood
bull fighting
playing pinball
setting table
bull fighting
peeling apples
making tea
ski jumping
staring
tying knot (not on a tie)
putting on lipstick
feeding fish
longboarding
playing volleyball
milking cow
leatherworking
flint knapping
country line dancing
home roasting coffee
making a cake
tapping guitar
eating hotdog
biking through snow
sword swallowing
playing netball
pushing cart
cooking scallops
standing on hands
cracking back
putting on eyeliner
building lego
playing cello
playing with trains
embroidering
exercising with an exercise ball
roller skating
playing harmonica
tackling
popping balloons
smashing
motorcycling
sawing wood
photocopying
abseiling
playing gong
changing wheel (not on bike)
throwing tantrum
playing organ
making cheese
spinning poi
cleaning pool
battle rope training
battle rope training
juggling balls
tai chi
shearing sheep
playing field hockey
making a cake
playing violin
cracking neck
ice swimming
playing badminton
bobsledding
playing clarinet
tai chi
shuffling feet
doing laundry
playing polo
playing saxophone
standing on hands
throwing water balloon
front raises
ice swimming
historical reenactment
polishing metal
somersaulting
opening bottle (not wine)
recording music
playing ocarina
eating burger
blowing glass
clay pottery making
playing clarinet
cracking neck
surfing crowd
washing feet
eating burger
tasting beer
opening refrigerator
throwing tantrum
shaving head
feeding fish
weaving fabric
riding mule
making horseshoes
shopping
eating burger
poking bellybutton
using a sledge hammer
cracking back
javelin throw
abseiling
presenting weather forecast
mountain climber (exercise)
trimming trees
tying necktie
hammer throw
shaping bread dough
throwing knife
steer roping
stomping grapes
abseiling
washing feet
riding a bike
ice fishing
leatherworking
huddling
massaging feet
washing hands
waxing back
wading through mud
playing ice hockey
ice swimming
playing polo
eating cake
chopping vegetables
gospel singing in church
shaking hands
inflating balloons
planing wood
walking through snow
country line dancing
trimming shrubs
unloading truck
texting
huddling
belly dancing
lifting hat
bartending
skydiving
bobsledding
shaking hands
building sandcastle
swimming backstroke
sword fighting
pull ups
bench pressing
ironing
javelin throw
hoverboarding
kitesurfing
smoking hookah
clay pottery making
yoga
playing hand clapping games
eating cake
riding mule
country line dancing
egg hunting
playing paintball
clam digging
sawing wood
slacklining
blowing leaves
ice swimming
headbanging
mountain climber (exercise)
shining shoes
brushing teeth
leatherworking
gospel singing in church
tossing coin
tossing coin
blowing leaves
massaging feet
pull ups
clapping
contact juggling
hurdling
playing saxophone
preparing salad
skiing slalom
delivering mail
laying stone
yawning
playing guitar
archery
assembling computer
throwing water balloon
gospel singing in church
waxing eyebrows
falling off chair
breathing fire
golf chipping
waxing back
swimming breast stroke
triple jump
playing tennis
hula hooping
blowing out candles
sign language interpreting
pole vault
massaging back
playing darts
building shed
petting animal (not cat)
jumping bicycle
smashing
picking fruit
roasting pig
throwing ball (not baseball or American football)
playing monopoly
throwing water balloon
push up
opening door
shaving legs
huddling
bending metal
skipping rope
karaoke
hand washing clothes
belly dancing
knitting
ski jumping
pushing wheelchair
javelin throw
applauding
tackling
putting in contact lenses
checking tires
bodysurfing
eating chips
chiseling stone
barbequing
sharpening knives
breading or breadcrumbing
passing american football (not in game)
marching
lighting fire
ski jumping
capoeira
playing paintball
parkour
contorting
shopping
cooking egg
tossing coin
arguing
tap dancing
pirouetting
tiptoeing
tossing coin
washing hair
pirouetting
tasting food
grooming horse
capsizing
petting cat
chopping meat
riding scooter
shaving head
bungee jumping
archaeological excavation
juggling balls
waiting in line
dancing gangnam style
mopping floor
weaving fabric
wood burning (art)
folding napkins
egg hunting
bobsledding
embroidering
tagging graffiti
holding snake
unboxing
dancing macarena
eating carrots
long jump
slapping
crying
making cheese
preparing salad
dancing ballet
playing harp
playing badminton
playing gong
shaking hands
barbequing
riding mechanical bull
tackling
making balloon shapes
barbequing
gold panning
snowkiting
flying kite
pole vault
playing piano
roasting pig
smelling feet
waving hand
singing
yawning
cracking back
snowmobiling
assembling computer
waxing legs
training dog
falling off bike
catching or throwing baseball
card stacking
playing blackjack
feeding goats
catching or throwing frisbee
playing lute
climbing ladder
attending conference
passing soccer ball
swimming breast stroke
drawing
drawing
